t,cbhIdx5,cbhIdx1
2017-12-28,1189.108151,1092.077246
2017-12-29,1184.390747,1087.951208
2018-01-01,1184.390747,1087.951208
2018-01-02,1192.382438,1095.513372
2018-01-03,1197.829975,1099.313907
2018-01-04,1200.972118,1095.57929
2018-01-05,1208.420155,1103.011374
2018-01-08,1211.924677,1107.665408
2018-01-09,1207.495051,1107.309263
2018-01-10,1203.437808,1107.820857
2018-01-11,1214.202936,1121.467493
2018-01-12,1221.993643,1130.764543
2018-01-15,1221.993643,1130.764543
2018-01-16,1216.908778,1131.55902
2018-01-17,1233.738337,1128.842821
2018-01-18,1230.168103,1124.001315
2018-01-19,1239.41161,1125.19998
2018-01-22,1248.790693,1137.648
2018-01-23,1250.001322,1152.911399
2018-01-24,1240.103431,1151.04916
2018-01-25,1237.829182,1152.972239
2018-01-26,1259.517448,1165.54486
2018-01-29,1250.549525,1162.123665
2018-01-30,1239.909035,1153.202114
2018-01-31,1235.782891,1157.336174
2018-02-01,1233.83701,1142.055713
2018-02-02,1211.383333,1132.08576
2018-02-05,1167.153933,1090.111263
2018-02-06,1182.47822,1109.80096
2018-02-07,1182.191028,1103.439943
2018-02-08,1142.656653,1062.344277
2018-02-09,1150.3821,1070.560384
2018-02-12,1164.143193,1087.743486
2018-02-13,1168.357594,1092.140339
2018-02-14,1182.513148,1108.303974
2018-02-15,1195.630373,1120.459484
2018-02-16,1196.904828,1120.632538
2018-02-19,1196.904828,1120.632538
2018-02-20,1189.601946,1116.459475
2018-02-21,1183.20401,1111.61621
2018-02-22,1183.917642,1111.647409
2018-02-23,1198.374571,1128.589697
2018-02-26,1207.327365,1143.923292
2018-02-27,1192.947007,1129.404602
2018-02-28,1185.949827,1118.949246
2018-03-01,1178.696476,1110.188461
2018-03-02,1189.861723,1119.625936
2018-03-05,1202.729762,1134.592562
2018-03-06,1210.034582,1136.404137
2018-03-07,1209.016636,1137.098623
2018-03-08,1215.641254,1142.135741
2018-03-09,1228.656597,1159.496316
2018-03-12,1228.61042,1163.940802
2018-03-13,1224.576196,1157.362493
2018-03-14,1216.480611,1155.23988
2018-03-15,1207.794202,1151.162878
2018-03-16,1210.911784,1153.871839
2018-03-19,1196.61392,1136.57025
2018-03-20,1195.722193,1144.61267
2018-03-21,1195.368935,1145.198549
2018-03-22,1175.835141,1116.504105
2018-03-23,1153.844266,1095.313041
2018-03-26,1173.663028,1120.153363
2018-03-27,1163.371663,1100.030222
2018-03-28,1163.844099,1085.45319
2018-03-29,1175.407528,1099.897851
2018-03-30,1175.407528,1099.897851
2018-04-02,1149.265784,1070.549037
2018-04-03,1163.785463,1083.529437
2018-04-04,1174.483534,1093.365233
2018-04-05,1182.569057,1106.194291
2018-04-06,1161.642863,1081.585441
2018-04-09,1165.267412,1085.129384
2018-04-10,1180.336831,1105.105799
2018-04-11,1176.402385,1104.184146
2018-04-12,1182.96707,1107.470724
2018-04-13,1180.238005,1106.791776
2018-04-16,1190.859803,1112.537152
2018-04-17,1200.864597,1131.059083
2018-04-18,1202.025468,1139.83117
2018-04-19,1187.507232,1137.072131
2018-04-20,1178.891682,1125.600985
2018-04-23,1178.059335,1126.452587
2018-04-24,1163.542251,1109.835034
